Ticker,companyName,sector,SectorCode,industry,marketCap,historicalMarketCapDate,selectionReferenceDate,universeSource
AAPL,Apple Inc.,Technology,10,Consumer Electronics,2168067329160.0,2021-01-04,2021-01-04,active_screener
MSFT,Microsoft Corporation,Technology,10,Software - Infrastructure,1641164910000.0,2021-01-04,2021-01-04,active_screener
AMZN,"Amazon.com, Inc.",Consumer Cyclical,3,Specialty Retail,1606046400000.0,2021-01-04,2021-01-04,active_screener
GOOG,Alphabet Inc.,Communication Services,2,Internet Content & Information,1162111841047.0,2021-01-04,2021-01-04,active_screener
META,"Meta Platforms, Inc.",Communication Services,2,Internet Content & Information,773976778260.0,2021-01-04,2021-01-04,active_screener
TSLA,"Tesla, Inc.",Consumer Cyclical,3,Auto - Manufacturers,701318580000.0,2021-01-04,2021-01-04,active_screener
BABA,Alibaba Group Holding Limited,Consumer Cyclical,3,Specialty Retail,616676025000.0,2021-01-04,2021-01-04,active_screener
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,10,Semiconductors,579284689200.0,2021-01-04,2021-01-04,active_screener
BRK-A,Berkshire Hathaway Inc.,Financial Services,6,Insurance - Diversified,526623825000.0,2021-01-04,2021-01-04,active_screener
V,Visa Inc.,Financial Services,6,Financial - Credit Services,477547680000.0,2021-01-04,2021-01-04,active_screener
WMT,Walmart Inc.,Consumer Defensive,4,Discount Stores,414065520000.0,2021-01-04,2021-01-04,active_screener
JNJ,Johnson & Johnson,Healthcare,7,Drug Manufacturers - General,412017863000.0,2021-01-04,2021-01-04,active_screener
MA,Mastercard Incorporated,Financial Services,6,Financial - Credit Services,349381060000.0,2021-01-04,2021-01-04,active_screener
PG,The Procter & Gamble Company,Consumer Defensive,4,Household & Personal Products,338913162000.0,2021-01-04,2021-01-04,active_screener
UNH,UnitedHealth Group Incorporated,Healthcare,7,Medical - Healthcare Plans,329928000000.0,2021-01-04,2021-01-04,active_screener
NVDA,NVIDIA Corporation,Technology,10,Semiconductors,324603600000.0,2021-01-04,2021-01-04,active_screener
DIS,The Walt Disney Company,Communication Services,2,Entertainment,322844560000.0,2021-01-04,2021-01-04,active_screener
HD,"The Home Depot, Inc.",Consumer Cyclical,3,Home Improvement,283450080000.0,2021-01-04,2021-01-04,active_screener
PYPL,"PayPal Holdings, Inc.",Financial Services,6,Financial - Credit Services,272042160000.0,2021-01-04,2021-01-04,active_screener
AZN,AstraZeneca PLC,Healthcare,7,Drug Manufacturers - General,268304000000.0,2021-01-04,2021-01-04,active_screener
VZ,Verizon Communications Inc.,Communication Services,2,Telecommunications Services,243697850000.0,2021-01-04,2021-01-04,active_screener
ADBE,Adobe Inc.,Technology,10,Software - Infrastructure,232477860000.0,2021-01-04,2021-01-04,active_screener
CMCSA,Comcast Corporation,Communication Services,2,Telecommunications Services,231891410000.0,2021-01-04,2021-01-04,active_screener
NFLX,"Netflix, Inc.",Communication Services,2,Entertainment,231761829600.0,2021-01-04,2021-01-04,active_screener
KO,The Coca-Cola Company,Consumer Defensive,4,Beverages - Non-Alcoholic,227237320000.0,2021-01-04,2021-01-04,active_screener
NKE,"NIKE, Inc.",Consumer Cyclical,3,Apparel - Footwear & Accessories,221077800000.0,2021-01-04,2021-01-04,active_screener
TM,Toyota Motor Corporation,Consumer Cyclical,3,Auto - Manufacturers,214294867287.0,2021-01-04,2021-01-04,active_screener
ASML,ASML Holding N.V.,Technology,10,Semiconductors,207650000000.0,2021-01-04,2021-01-04,active_screener
PFE,Pfizer Inc.,Healthcare,7,Drug Manufacturers - General,205547040000.0,2021-01-04,2021-01-04,active_screener
CRM,"Salesforce, Inc.",Technology,10,Software - Application,201803960000.0,2021-01-04,2021-01-04,active_screener
INTC,Intel Corporation,Technology,10,Semiconductors,201461520000.0,2021-01-04,2021-01-04,active_screener
NVS,Novartis AG,Healthcare,7,Drug Manufacturers - General,201103600000.0,2021-01-04,2021-01-04,active_screener
PEP,"PepsiCo, Inc.",Consumer Defensive,4,Beverages - Non-Alcoholic,199092600000.0,2021-01-04,2021-01-04,active_screener
MRK,"Merck & Co., Inc.",Healthcare,7,Drug Manufacturers - General,195416649268.0,2021-01-04,2021-01-04,active_screener
ABT,Abbott Laboratories,Healthcare,7,Medical - Devices,193868846348.0,2021-01-04,2021-01-04,active_screener
ABBV,AbbVie Inc.,Healthcare,7,Drug Manufacturers - General,186470290000.0,2021-01-04,2021-01-04,active_screener
TMO,Thermo Fisher Scientific Inc.,Healthcare,7,Medical - Diagnostics & Research,185897080000.0,2021-01-04,2021-01-04,active_screener
ORCL,Oracle Corporation,Technology,10,Software - Infrastructure,185703750000.0,2021-01-04,2021-01-04,active_screener
CSCO,"Cisco Systems, Inc.",Technology,10,Communication Equipment,185643080000.0,2021-01-04,2021-01-04,active_screener
UL,Unilever PLC,Consumer Defensive,4,Household & Personal Products,178762487352.0,2021-01-04,2021-01-04,active_screener
XOM,Exxon Mobil Corporation,Energy,5,Oil & Gas Integrated,177023437500.0,2021-01-04,2021-01-04,active_screener
COST,Costco Wholesale Corporation,Consumer Defensive,4,Discount Stores,168457390100.0,2021-01-04,2021-01-04,active_screener
NVO,Novo Nordisk A/S,Healthcare,7,Drug Manufacturers - General,164997824000.0,2021-01-04,2021-01-04,active_screener
TMUS,"T-Mobile US, Inc.",Communication Services,2,Telecommunications Services,164679357043.0,2021-01-04,2021-01-04,active_screener
CVX,Chevron Corporation,Energy,5,Oil & Gas Integrated,162043876750.0,2021-01-04,2021-01-04,active_screener
T,AT&T Inc.,Communication Services,2,Telecommunications Services,159117420000.0,2021-01-04,2021-01-04,active_screener
MCD,McDonald's Corporation,Consumer Cyclical,3,Restaurants,156782076000.0,2021-01-04,2021-01-04,active_screener
BHP,BHP Group Limited,Basic Materials,1,Industrial Materials,152196834229.0,2021-01-04,2021-01-04,active_screener
NEE,"NextEra Energy, Inc.",Utilities,11,Regulated Electric,145589952000.0,2021-01-04,2021-01-04,active_screener
HON,Honeywell International Inc.,Industrials,8,Conglomerates,144774790000.0,2021-01-04,2021-01-04,active_screener
UPS,"United Parcel Service, Inc.",Industrials,8,Integrated Freight & Logistics,142833600000.0,2021-01-04,2021-01-04,active_screener
SHEL,Shell plc,Energy,5,Oil & Gas Integrated,140194531500.0,2021-01-04,2021-01-04,active_screener
BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,4,Beverages - Alcoholic,139888850000.0,2021-01-04,2021-01-04,active_screener
UNP,Union Pacific Corporation,Industrials,8,Railroads,135529476000.0,2021-01-04,2021-01-04,active_screener
