requested_symbol,symbol,date,fiscalYear,period,filingDate,acceptedDate,reportedCurrency,cik,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities
GS,GS,2025-12-31,2025,Q4,2026-02-25,2026-02-25 17:22:27,USD,0000886982,30125000000,4617000000,5855000000,6382000000,124972000000,1809320000000,609534000000,1018577000000,1226809000000
GS,GS,2025-09-30,2025,Q3,2025-10-31,2025-10-31 16:17:56,USD,0000886982,32154000000,4098000000,5392000000,5923000000,124000000000,1808000000000,665000000000,693000000000,1382000000000
GS,GS,2025-06-30,2025,Q2,2025-08-01,2025-08-01 16:40:51,USD,0000886982,31268000000,3723000000,4958000000,5576000000,124096000000,1785009000000,603194000000,367247000000,1232728000000
GS,GS,2025-03-31,2025,Q1,2025-05-02,2025-05-02 16:53:13,USD,0000886982,31550000000,4738000000,5647000000,6153000000,124300000000,1766181000000,609737000000,1107249000000,1232087000000
GS,GS,2024-12-31,2024,Q4,2025-02-27,2025-02-27 08:50:25,USD,0000886982,32240000000,4111000000,5257000000,5755000000,121996000000,1675972000000,616935000000,1073043000000,1158274000000
GS,GS,2024-09-30,2024,Q3,2024-11-04,2024-11-01 18:04:43,USD,0000886982,31524000000,2990000000,3987000000,4608000000,121200000000,1728080000000,612921000000,1105119000000,1206007000000
GS,GS,2024-06-30,2024,Q2,2024-08-02,2024-08-01 18:38:11,USD,0000886982,31181000000,3043000000,3916000000,4562000000,119463000000,1653313000000,574785000000,1064333000000,1152360000000
GS,GS,2024-03-31,2024,Q1,2024-05-03,2024-05-02 19:05:40,USD,0000886982,32394000000,4132000000,5237000000,5864000000,118546000000,1698440000000,597213000000,1102678000000,1203496000000
GS,GS,2023-12-31,2023,Q4,2024-02-28,2024-02-27 21:46:02,USD,0000886982,28463000000,2008000000,2254000000,3034000000,116905000000,1641594000000,583135000000,1073522000000,1146220000000
GS,GS,2023-09-30,2023,Q3,2023-11-03,2023-11-03 16:35:10,USD,0000886982,28527000000,2058000000,2756000000,4268000000,117277000000,1577153000000,536662000000,1025243000000,1107835000000
GS,GS,2023-06-30,2023,Q2,2023-08-03,2023-08-02 18:05:50,USD,0000886982,26047000000,1216000000,1736000000,3330000000,116493000000,1571386000000,539408000000,1019683000000,1108436000000
GS,GS,2023-03-31,2023,Q1,2023-05-04,2023-05-03 18:05:18,USD,0000886982,25381000000,3234000000,3993000000,4963000000,117509000000,1538349000000,523424000000,969127000000,1065514000000
GS,GS,2022-12-31,2022,Q4,2023-02-24,2023-02-23 19:58:16,USD,0000886982,20930000000,1326000000,1530000000,2257000000,117189000000,1441799000000,434548000000,868981000000,972181000000
GS,GS,2022-09-30,2022,Q3,2022-11-03,2022-11-02 18:10:30,USD,0000886982,18482000000,3069000000,3756000000,4422000000,119290000000,1555994000000,469157000000,956003000000,1062072000000
GS,GS,2022-06-30,2022,Q2,2022-08-04,2022-08-03 17:59:20,USD,0000886982,14981000000,2927000000,3544000000,4114000000,117871000000,1601224000000,500284000000,1001606000000,1111035000000
GS,GS,2022-03-31,2022,Q1,2022-05-02,2022-04-29 18:08:43,USD,0000886982,14318000000,3939000000,4656000000,5148000000,115239000000,1589441000000,501820000000,1031326000000,1090045000000
GS,GS,2021-12-31,2021,Q4,2022-02-25,2022-02-24 21:09:11,USD,0000886982,13854000000,3935000000,5025000000,5513000000,109926000000,1463988000000,487762000000,948912000000,975783000000
GS,GS,2021-09-30,2021,Q3,2021-11-01,2021-10-29 18:13:57,USD,0000886982,15161000000,5378000000,6842000000,7351000000,106297000000,1443230000000,481077000000,929362000000,972344000000
GS,GS,2021-06-30,2021,Q2,2021-08-04,2021-08-03 19:45:15,USD,0000886982,16698000000,5486000000,6840000000,7360000000,101890000000,1387922000000,482286000000,876583000000,931691000000
GS,GS,2021-03-31,2021,Q1,2021-05-04,2021-05-03 19:34:14,USD,0000886982,19276000000,6836000000,8337000000,8835000000,97664000000,1301548000000,438101000000,815348000000,873319000000
