Ticker,lag,alpha,beta_negative,beta_neutral,beta_positive,n_obs_used
AAPL,1,-12436.7621629,-41698.855367,-41696.1500087,-41691.3461608,274
AAPL,2,-12436.7621629,57460.2486499,57475.8897656,57487.9561832,274
AAPL,3,-12436.7621629,-3332.0640885,-3340.1575126,-3344.3888989,274
ABBV,1,31314.1087466,-10370.9906393,-10371.7405279,-10372.7778281,269
ABBV,2,31314.1087466,-19949.4857194,-19946.3754295,-19947.4293346,269
ABBV,3,31314.1087466,-992.8784483,-993.7687085,-992.7268832,269
ABT,1,-8910.5879293,1224.0363552,1223.6894603,1224.0509311,247
ABT,2,-8910.5879293,791.4486091,790.9137425,791.5961679,247
ABT,3,-8910.5879293,6898.7581738,6901.7946493,6902.8255583,247
ADBE,1,313787.6064055,-177958.4371614,-177961.420169,-177961.2989757,260
ADBE,2,313787.6064055,-90790.2842596,-90790.1206312,-90791.8308688,260
ADBE,3,313787.6064055,-45028.7869352,-45036.3592115,-45026.2091279,260
AEP,1,791.5852456,-5364.6098478,-5366.882542,-5365.615863,190
AEP,2,791.5852456,4444.1555719,4444.7341231,4444.4389184,190
AEP,3,791.5852456,130.2068841,130.8152176,130.2803744,190
AMT,1,-21031.3040288,9094.334836,9093.2393594,9094.4444944,206
AMT,2,-21031.3040288,22287.6130896,22286.100359,22287.2406991,206
AMT,3,-21031.3040288,-10335.7446675,-10338.4345729,-10337.3055501,206
AMZN,1,-67473.2278498,-67101.801686,-67096.3774373,-67093.3233621,274
AMZN,2,-67473.2278498,68123.1238874,68119.1190815,68121.9503438,274
AMZN,3,-67473.2278498,66451.689207,66452.424487,66450.1262654,274
APD,1,-30535.6613866,16206.6531912,16208.4285545,16213.8397701,176
APD,2,-30535.6613866,6752.9954346,6758.2413362,6758.994636,176
APD,3,-30535.6613866,7592.770878,7591.3874252,7591.8268406,176
ASML,1,-73690.5223759,160051.6925569,160059.8346776,160059.5020082,245
ASML,2,-73690.5223759,60297.4771265,60298.9155457,60303.7446077,245
ASML,3,-73690.5223759,-146651.6089556,-146653.8298894,-146664.7032313,245
AZN,1,-21950.8835579,14588.0078368,14583.8592867,14585.5226062,272
AZN,2,-21950.8835579,1697.1188534,1691.6162327,1693.1757562,272
AZN,3,-21950.8835579,5673.432253,5674.1484995,5673.8333403,272
B,1,-686.9558278,-298.9082436,-298.8926066,-299.082803,108
B,2,-686.9558278,-3458.1154413,-3457.9009723,-3457.3222546,108
B,3,-686.9558278,4444.4372294,4444.4474852,4443.5920661,108
BA,1,123348.2195733,-32753.202933,-32763.0363917,-32749.0496535,274
BA,2,123348.2195733,-36110.4913399,-36114.8344434,-36103.4645098,274
BA,3,123348.2195733,-54474.6792736,-54463.2230872,-54477.7852593,274
BABA,1,-131765.0589632,65829.6157765,65824.0420387,65832.1187726,169
BABA,2,-131765.0589632,79815.5057368,79822.3952292,79816.2183766,169
BABA,3,-131765.0589632,-13876.6716208,-13881.6818551,-13879.3431825,169
BHP,1,-9834.0371473,6407.017061,6406.9725363,6406.7127359,175
BHP,2,-9834.0371473,10443.6596378,10442.6657932,10443.0980089,175
BHP,3,-9834.0371473,-7011.823019,-7012.3149368,-7013.1728629,175
BIDU,1,-32854.9586022,7173.0508913,7170.5163341,7176.3075127,233
BIDU,2,-32854.9586022,42868.5459958,42872.5950054,42868.6779926,233
BIDU,3,-32854.9586022,-17179.0600751,-17179.4626646,-17183.8081967,233
BLK,1,56598.8881486,40083.5228783,40089.6895812,40092.9682899,251
BLK,2,56598.8881486,-50671.7601676,-50688.5987032,-50686.9660039,251
BLK,3,56598.8881486,-46003.2599822,-45987.1162512,-45982.5452784,251
BP,1,3276.4707485,-2944.6383236,-2944.4134258,-2944.4962807,246
BP,2,3276.4707485,299.1415377,298.8399957,298.7535708,246
BP,3,3276.4707485,-630.5636841,-630.6942538,-630.5030751,246
BRK-A,1,2189793.0899221,7044122.1605892,7046229.9533699,7043788.509407,127
BRK-A,2,2189793.0899221,-2824646.6551526,-2824733.3463365,-2833281.9716419,127
BRK-A,3,2189793.0899221,-6386402.4690199,-6379331.9079063,-6385248.2957345,127
BUD,1,3888.7647944,9044.8648489,9045.1234262,9046.2323073,190
BUD,2,3888.7647944,-14366.6427124,-14366.8780601,-14364.7399141,190
BUD,3,3888.7647944,1439.3794215,1440.5308686,1438.8629657,190
C,1,4434.3898135,-2974.6727588,-2974.0222347,-2972.6113649,269
C,2,4434.3898135,-2194.7409082,-2194.6857911,-2195.1321769,269
C,3,4434.3898135,735.0467997,733.9947576,734.49808,269
CAT,1,-1287.389251,-11007.9458121,-11013.1920144,-11016.5197396,264
CAT,2,-1287.389251,25708.4417546,25714.2780709,25717.4414899,264
CAT,3,-1287.389251,-13417.1845285,-13411.9429585,-13415.1499429,264
CCI,1,-25559.4214192,8479.4411453,8480.6680318,8478.001028,172
CCI,2,-25559.4214192,-2919.0919741,-2919.1009325,-2917.3647002,172
