ID,Ticker,Date,Headline,Summary
19638714,B,2021-02-12T14:51:17Z,What Does Barnes Gr's Debt Look Like?,"Shares of Barnes Gr (NYSE:B) rose by 15.30% in the past three months. Before having a look at the importance of debt, let us look at how much debt Barnes Gr has."
19641415,B,2021-02-12T16:33:58Z,S.F. Express Merger With Kerry Logistics Creates Logistics Powerhouse,S.F.
19728705,B,2021-02-18T15:06:50Z,Preview: Barnes Gr's Earnings,"Barnes Gr (NYSE:B) announces its next round of earnings this Friday, February 19. Here is Benzinga&#39;s everything-that-matters guide for this Friday&#39;s Q4 earnings announcement."
19743779,B,2021-02-19T08:51:30Z,"Earnings Scheduled For February 19, 2021"," 

Companies Reporting Before The Bell

• Arbor Realty Trust (NYSE:ABR) is projected to report quarterly earnings at $0.45 per share on revenue of $42.55 million."
19745250,B,2021-02-19T11:35:01Z,Barnes Group Q4 EPS $.0.36 Beats $0.33 Est; Revenue $289N Beats $282.2M Est,
19745538,B,2021-02-19T12:03:37Z,Barnes: Q4 Earnings Insights," 

Shares of Barnes Group (NYSE:B) fell 0.1% in pre-market trading after the company reported Q4 results.

Quarterly Results

Earnings per share were down 58.14% over the past year to $0.36, which beat the estimate of $0.33."
19745756,B,2021-02-19T12:10:53Z,"Barnes Sees FY21 EPS $1.65-$1.90 Vs. $1.89 Est., Expects Organic Sales Growth of 6%-8%",
19799531,B,2021-02-23T15:15:39Z,Analyzing Barnes Gr's Ex-Dividend Date,"On February 12, 2021, Barnes Gr (NYSE:B) declared a dividend payable on March 10, 2021 to its shareholders. Barnes Gr also announced that shareholders on the company&#39;s books on or before February 25, 2021 are entitled to the dividend. The stock will then go ex-dividend 1 business day(s) before the record date."
20142873,B,2021-03-12T15:16:35Z,Stocks That Hit 52-Week Highs On Friday," 

 

Before 10 a.m. ET on Friday, 571 companies hit new 52-week highs."
20169376,B,2021-03-15T14:01:24Z,P/E Ratio Insights for Barnes, 
