ID,Ticker,Date,Headline,Summary
,EXC,2021-02-18T13:27:37Z,"Morgan Stanley Maintains Overweight on Exelon, Lowers Price Target to $55",
,EXC,2021-02-23T12:37:22Z,"Credit Suisse Maintains Outperform on Exelon, Lowers Price Target to $47",
,EXC,2021-02-24T08:35:09Z,"Earnings Scheduled For February 24, 2021"," 

Companies Reporting Before The Bell

• Pinnacle West Capital (NYSE:PNW) is expected to report quarterly earnings at $0.04 per share on revenue of $715.74 million."
,EXC,2021-02-24T11:53:18Z,Exelon to Separate Its Utility and Competitive Energy Businesses Into Two Industry-Leading Companies,
,EXC,2021-02-24T11:54:52Z,"Exelon Q4 EPS $0.76 Beats $0.69 Estimate, Sales $8.12B Beat $7.94B Estimate",
,EXC,2021-02-24T11:56:04Z,Exelon Sees FY21 EPS $2.60-$3.00 Vs. $2.96 Est.,
,EXC,2021-02-24T12:13:13Z,Exelon: Q4 Earnings Insights," 

Shares of Exelon (NASDAQ:EXC) remained unaffected after the company reported Q4 results.

Quarterly Results

Earnings per share were down 8.43% over the past year to $0.76, which beat the estimate of $0.69."
,EXC,2021-02-25T12:38:31Z,Exelon's Debt Insights," 

Shares of Exelon (NASDAQ:EXC) fell by 3.01% in the past three months. Before we understand the importance of debt, let us look at how much debt Exelon has."
,EXC,2021-04-08T21:15:04Z,RICE Shares Rally On SPAC Deal To Create Renewable Gas Platform,One of the biggest day-one pops for a SPAC merger announcement in weeks happened Thursday with news that a renewable gas (RNG) platform is being created.
,EXC,2021-04-16T12:40:01Z,"Morgan Stanley Maintains Overweight on Exelon, Raises Price Target to $59",
,EXC,2021-04-16T17:12:46Z,Stocks That Hit 52-Week Highs On Friday," 

 

Friday&#39;s morning session saw 420 companies set new 52-week highs."
