ID,Ticker,Date,Headline,Summary
14611082,MS,2019-10-17T13:04:53Z,Morgan Stanley Trades Higher On Q3 Beat Despite 'Summer Slowdown',"Morgan Stanley (NYSE: MS) reported third-quarter earnings of $1.27 per share on Thursday, beating the analyst consensus estimate of $1.11.

This is an 8.55% increase over earnings of $1.17 per share in the same period last year."
18994949,MS,2021-01-04T10:01:03Z,Barclays Upgrades Morgan Stanley to Overweight,
18998552,MS,2021-01-04T13:59:11Z,"Benzinga Pro's Top 5 Stocks To Watch For Monday, Jan. 4, 2021: MS, WKHS, NGA, WBA, BBBY",
19000295,MS,2021-01-04T15:04:49Z,"Benzinga's Top Upgrades, Downgrades For January 4, 2021", 
19003873,MS,2021-01-04T17:40:16Z,"Pete Najarian On CNBC's Halftime Report Picks Freeport-McMoran, Morgan Stanley For 2021",
19003880,MS,2021-01-04T17:41:03Z,"Pete Najarian On CNBC's Halftime Report Says Watching For Morgan Stanley Pullback, Says They've Been 'On Fire,' Done Well With M&A",
19004101,MS,2021-01-04T17:57:57Z,Stocks That Hit 52-Week Highs On Monday," 

During Monday&#39;s morning session, 286 stocks hit new 52-week highs."
19003708,MS,2021-01-04T20:08:27Z,"Barclays Is Bullish On Bank Stocks, Upgrades Goldman Sachs, Morgan Stanley","Bank stocks finished strong in 2020 on optimism surrounding an economic rebound in 2021 and the resumption of buybacks starting in the first quarter.

On Monday, one investment bank analyst team said banks are set for tremendous earnings growth in 2021 and beyond."
19022535,MS,2021-01-05T17:32:01Z,"Stephanie Link On CNBC's Halftime Report Says Loves Morgan Stanley; Notes Recent M&A, Buyback Announcements",
19022585,MS,2021-01-05T17:34:33Z,Josh Brown On CNBC's Halftime Report Says There's Not A Lot Of 'Organic' Management Growth,
19065209,MS,2021-01-07T19:19:48Z,Stocks That Hit 52-Week Highs On Thursday," 

 

Thursday&#39;s morning session saw 641 companies set new 52-week highs."
19075905,MS,2021-01-08T13:40:13Z,"Benzinga Pro's Top 5 Stocks To Watch For Friday, Jan. 8, 2021: AAPL, MS, ROKU, INTC, SBUX",
19093740,MS,2021-01-11T12:17:31Z,Top Us Banks To Remove Hong Kong listed Products With Exposure To Sanctioned Chinese Companies,Top U.S.
19086178,MS,2021-01-11T13:58:51Z,Uber's Shares Sag On Report Of Large Sale,Shares of Uber Technologies (NYSE: UBER) sank 5% Friday on a report that Goldman Sachs (NYSE: GS) is looking to unload 38 million shares in a block trade.
19101285,MS,2021-01-11T14:51:47Z,Hearing E-Trade Users Experiencing Problems,
19124620,MS,2021-01-12T15:09:01Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

On Tuesday morning, 323 companies hit new 52-week highs."
19215250,MS,2021-01-19T14:38:46Z,This Week Will Be About More Than Inauguration Day Alone,"Since 2020 March lows, the market saw a nothing short of extraordinary record-shattering rally. But how much higher can it go as COVID continues to rage across the US and Europe? That answer will become a bit clearer as traders have returned from the long holiday weekend and equity markets have reopened."
19216393,MS,2021-01-19T15:30:40Z,Earnings Outlook For Morgan Stanley,"Morgan Stanley (NYSE:MS) announces its next round of earnings this Wednesday, January 20. Here is Benzinga&#39;s everything-that-matters guide for this Wednesday&#39;s Q4 earnings announcement."
19218343,MS,2021-01-19T16:18:40Z,How To Trade Netflix Ahead Of Its Earnings Report Using Options,The following originally appeared on Options AI
19229886,MS,2021-01-20T09:10:28Z,"Earnings Scheduled For January 20, 2021"," 

Companies Reporting Before The Bell

• UnitedHealth Group (NYSE:UNH) is expected to report quarterly earnings at $2.41 per share on revenue of $65.06 billion."
19230184,MS,2021-01-20T09:41:34Z,"5 Stocks To Watch For January 20, 2021",Some of the stocks that may grab investor focus today are:
19231050,MS,2021-01-20T11:06:49Z,A Peek Into The Markets: US Stock Futures Up; Biden's Inauguration In Focus,Pre-open movers
19232373,MS,2021-01-20T12:31:20Z,"Morgan Stanley Q4 EPS $1.81 Beats $1.27 Estimate, Sales $13.60B Beat $11.54B Estimate",
19232377,MS,2021-01-20T12:31:55Z,UPDATE: Morgan Stanley Q4 Adj. EPS $1.92 Beats $1.27 Estimate,
