ID,Ticker,Date,Headline,Summary
19022247,UNP,2021-01-05T17:16:13Z,"Stephanie Link Of Hightower Advisors Says On CNBC Says Top Picks For 2021 Are Broadcom, Union Pacific; Notes Broadcom 5G, M&A",
19027094,UNP,2021-01-06T13:46:01Z,"Rail Roundup: Lineage, Patriot Make Acquisitions; CP, CN Set Records","From acquisition updates to grain loadings, here&#39;s a roundup of some recent rail-related news:"
19065209,UNP,2021-01-07T19:19:48Z,Stocks That Hit 52-Week Highs On Thursday," 

 

Thursday&#39;s morning session saw 641 companies set new 52-week highs."
19076491,UNP,2021-01-08T14:09:13Z,Union Pacific Corp To Record A Non-Cash Impairment Charge Of About $278M In Q4 2020 Related To Its Brazos Yard Investment,
19078174,UNP,2021-01-08T15:22:53Z,Stocks That Hit 52-Week Highs On Friday," 

 

This morning 470 companies set new 52-week highs."
19078438,UNP,2021-01-08T15:37:31Z,Why Is It Moving? Looking Into Why Union Pacific's Stock is Trading Higher Today,"Union Pacific&#39;s Stock Price And Volume Action

Union Pacific (NYSE:UNP) is currently up 3.31% to a price of $219.89. The stock&#39;s current volume for the day is 863.33 thousand, which is approximately 37.31% of its previous 30-day average volume of 2.31 million."
19080166,UNP,2021-01-08T21:06:08Z,"Union Pacific Expects Q4 OR In Mid-50s, Details Brazos Yard Plans","Union Pacific (NYSE: UNP) expects an adjusted operating ratio (OR) of 55.6% for the fourth quarter of 2020, the company said in "
19084227,UNP,2021-01-08T21:11:48Z,"Court Sides With Union Pacific, Thwarting Potential Strikes",Union members affiliated with the Brotherhood of Maintenance of Way – Employes Division (BMWED) can&#39;t strike against Union Pacific (NYSE: UNP) over 
19104655,UNP,2021-01-11T16:35:37Z,Bernstein Upgrades Union Pacific to Outperform,
19127172,UNP,2021-01-12T17:24:39Z,33 Blue Chip Companies That Are Suspending Campaign Donations After Capitol Insurrection,The riots at the U.S. Capitol have prompted a number of high-profile companies to suspend or review their political donations. Some companies have specifically said they would no longer be financially supporting Republican politicians who protested the certification of President-elect Joe Biden’s November victory.
19181247,UNP,2021-01-15T14:21:05Z,"Raymond James Maintains Strong Buy on Union Pacific, Raises Price Target to $250",
19215250,UNP,2021-01-19T14:38:46Z,This Week Will Be About More Than Inauguration Day Alone,"Since 2020 March lows, the market saw a nothing short of extraordinary record-shattering rally. But how much higher can it go as COVID continues to rage across the US and Europe? That answer will become a bit clearer as traders have returned from the long holiday weekend and equity markets have reopened."
19236050,UNP,2021-01-20T15:17:12Z,Earnings Preview for Union Pacific,"Union Pacific (NYSE:UNP) announces its next round of earnings this Thursday, January 21. Here is Benzinga&#39;s look at Union Pacific&#39;s Q4 earnings report."
19248774,UNP,2021-01-21T09:13:42Z,"Earnings Scheduled For January 21, 2021"," 

Companies Reporting Before The Bell

• Home BancShares (NASDAQ:HOMB) is projected to report quarterly earnings at $0.40 per share on revenue of $172.08 million."
19249078,UNP,2021-01-21T09:38:30Z,"5 Stocks To Watch For January 21, 2021",Some of the stocks that may grab investor focus today are:
19249988,UNP,2021-01-21T11:09:38Z,A Peek Into The Markets: US Stock Futures Edge Higher On Biden's Optimism,Pre-open movers
19250794,UNP,2021-01-21T12:13:26Z,What Does Union Pacific's Debt Look Like?," 

Shares of Union Pacific (NYSE:UNP) increased by 20.57% in the past three months. Before we understand the importance of debt, let us look at how much debt Union Pacific has."
19251837,UNP,2021-01-21T13:02:48Z,"Union Pacific Q4 Adj. EPS $2.36 Beats $2.29 Estimate, Sales $5.14B Beat $5.09B Estimate",
19251912,UNP,2021-01-21T13:07:51Z,Recap: Union Pacific Q4 Earnings," 

Shares of Union Pacific (NYSE:UNP) decreased 0.2% in pre-market trading after the company reported Q4 results.

Quarterly Results

Earnings per share were up 16.83% year over year to $2.36, which beat the estimate of $2.29."
19255982,UNP,2021-01-21T15:11:34Z,Mid-Morning Market Update: Markets Mixed; Union Pacific Profit Beats Views,"Following the market opening Thursday, the Dow traded down 0.06% to 31,170.46 while the NASDAQ rose 0.28% to 13,495.39. The S&amp;P also fell, dropping 0.03% to 3,850.70."
19258914,UNP,2021-01-21T17:07:26Z,Mid-Day Market Update: Nasdaq Rises Over 50 Points; Dyne Therapeutics Shares Plummet,"Midway through trading opening Thursday, the Dow traded down 0.12% to 31,150.37 while the NASDAQ rose 0.37% to 13,507.06. The S&amp;P also fell, dropping 0.05% to 3,849.99."
19262142,UNP,2021-01-21T19:45:54Z,Mid-Afternoon Market Update: Dow Rises 50 Points; Vinco Ventures Shares Spike Higher,"Toward the end of trading Thursday, the Dow traded up 0.16% to 31,238.60 while the NASDAQ rose 0.63% to 13,541.78. The S&amp;P also rose, gaining 0.20% to 3,859.69."
19270895,UNP,2021-01-22T11:44:55Z,"UBS Maintains Buy on Union Pacific, Raises Price Target to $230",
19272427,UNP,2021-01-22T13:38:14Z,"Credit Suisse Maintains Outperform on Union Pacific, Lowers Price Target to $243",
19272982,UNP,2021-01-22T14:06:29Z,"Raymond James Maintains Strong Buy on Union Pacific, Lowers Price Target to $245",
19273952,UNP,2021-01-22T14:49:43Z,"Morgan Stanley Maintains Equal-Weight on Union Pacific, Raises Price Target to $170",
19326992,UNP,2021-01-26T17:10:24Z,UPS Closes Curtain On Tough 15-year-old LTL Run,UPS Inc. (NYSE: UPS) CEO Carol Tomé has pulled the plug on the company&#39;s often-difficult 15-year foray into the less-than-truckload business.
19444825,UNP,2021-02-02T15:29:33Z,Analyzing Union Pacific's Unusual Options Activity,Union Pacific (NYSE:UNP) shares experienced unusual options activity on Tuesday. The stock price moved up to $204.17 following the option alert.
