Ticker,Company_name,CUSIP,source,Market_Cap
A,AGILENT TECHNOLOGIES INC,00846U101,sp500_row_504.csv,31539449856.0
AA,Alcoa Corporation,013872106,sp400_row_400.csv,16777569280.0
AAL,ANGLO AMERICAN PLC,ACI2WVZ09,dow_row_179.csv,6801137152.0
AAMI,ACADIAN ASSET MANAGEMENT INC,10948W103,sp600_row_341.csv,1801489152.0
AAON,AAON Inc.,000360206,sp400_row_400.csv,6849097216.0
AAPL,APPLE INC,037833100,"dow_row_179.csv, dow_row_31.csv, sp500_row_504.csv",3676245065728.0
ABBV,ABBVIE INC,00287Y109,"dow_row_179.csv, sp500_row_504.csv",388431347712.0
ABCB,AMERIS BANCORP,03076K108,sp600_row_341.csv,5135932416.0
ABNB,AIRBNB INC CLASS A,009066101,sp500_row_504.csv,75718615040.0
ABT,ABBOTT LABORATORIES,002824100,"dow_row_179.csv, sp500_row_504.csv",187721891840.0
ACA,ARCOSA INC,039653100,sp600_row_341.csv,5183078400.0
ACAD,ACADIA PHARMACEUTICALS INC,004225108,sp600_row_341.csv,3513893888.0
ACGL,ARCH CAPITAL GROUP LTD,G0450A105,sp500_row_504.csv,33894647808.0
ACI,Albertsons Companies Inc. Class A,013091103,sp400_row_400.csv,9486540800.0
ACIW,ACI WORLDWIDE INC,004498101,sp600_row_341.csv,4099810048.0
ACLS,AXCELIS TECHNOLOGIES INC,054540208,sp600_row_341.csv,2555498496.0
ACM,AECOM,00766T100,sp400_row_400.csv,11773022208.0
ACMR,ACM RESEARCH INC CLASS A,00108J109,sp600_row_341.csv,3048445696.0
ACN,ACCENTURE PLC CL A,G1151C101,"dow_row_179.csv, sp500_row_504.csv",121950306304.0
ACT,ENACT HOLDINGS INC,29249E109,sp600_row_341.csv,5846585344.0
ADAM,ADAMAS TRUST INC,649604840,sp600_row_341.csv,712033088.0
ADBE,ADOBE INC,00724F101,"dow_row_179.csv, sp500_row_504.csv",102345859072.0
ADC,Agree Realty Corporation,008492100,sp400_row_400.csv,9533772800.0
ADEA,ADEIA INC,00676P107,sp600_row_341.csv,2495737344.0
ADI,ANALOG DEVICES INC,032654105,sp500_row_504.csv,149424652288.0
