WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2021-01-22,ABBV,13858000000.0,36000000.0,3753000000.0,1187000000.0,13076000000.0,150565000000.0,87063000000.0,24173000000.0,28661000000.0,13858000000.0,36000000.0,3753000000.0,1187000000.0,13076000000.0,150565000000.0,87063000000.0,24173000000.0,28661000000.0
2021-01-29,ABBV,13858000000.0,36000000.0,3753000000.0,1187000000.0,13076000000.0,150565000000.0,87063000000.0,24173000000.0,28661000000.0,13732631086.864973,546875700.4612278,3786436007.958075,1945510361.933171,13183611785.31071,150622241252.10077,86945755271.46523,24500141682.862804,29127592228.08273
2021-02-05,ABBV,13858000000.0,36000000.0,3753000000.0,1187000000.0,13076000000.0,150565000000.0,87063000000.0,24173000000.0,28661000000.0,13609720895.73813,1048104388.7732903,3819966803.31263,2691547368.5976653,13288544068.481377,150675625458.61963,86826325374.96289,24821977809.188465,29585845533.251354
2021-02-12,ABBV,13858000000.0,36000000.0,3753000000.0,1187000000.0,13076000000.0,150565000000.0,87063000000.0,24173000000.0,28661000000.0,13491728148.627653,1530039052.787022,3853687173.460146,3412637664.7248044,13388117347.371956,150721295573.9748,86702525142.52534,25133202822.439854,30027420992.591766
2021-02-19,ABBV,13858000000.0,36000000.0,3753000000.0,1187000000.0,13076000000.0,150565000000.0,87063000000.0,24173000000.0,28661000000.0,13381111567.541727,1983032680.353258,3887691905.7971025,4096307895.0459137,13479652119.842407,150755394552.58435,86572169406.18504,25428511166.07982,30443979683.189865
2021-02-26,ABBV,13858000000.0,36000000.0,3753000000.0,1187000000.0,13076000000.0,150565000000.0,87063000000.0,24173000000.0,28661000000.0,13280329874.488535,2397438259.3228326,3922075787.7199807,4730084704.292314,13560468883.752687,150774065348.86646,86433072997.97438,25702597283.571228,30827182682.131546
2021-03-05,ABBV,13858000000.0,36000000.0,3753000000.0,1187000000.0,13076000000.0,150565000000.0,87063000000.0,24173000000.0,28661000000.0,13191841791.47626,2763608777.5465803,3956933606.6252604,5301494737.19533,13627888136.962753,150773450917.23926,86283050749.92578,25950155618.376938,31168691066.502705
2021-03-12,ABBV,13858000000.0,36000000.0,3753000000.0,1187000000.0,13076000000.0,150565000000.0,87063000000.0,24173000000.0,28661000000.0,13118106040.513084,3071897222.8753366,3992360149.909422,5798064638.486282,13679230377.332558,150749694212.12088,86119917494.07161,26165880613.95981,31460165913.389233
2021-03-19,ABBV,13858000000.0,36000000.0,3753000000.0,1187000000.0,13076000000.0,150565000000.0,87063000000.0,24173000000.0,28661000000.0,13061581343.607195,3312656583.159935,4028450204.968945,6207321052.896498,13711816102.722063,150698938187.92944,85941488062.44432,26344466713.782703,31693268299.87703
2021-03-26,ABBV,13858000000.0,36000000.0,3753000000.0,1187000000.0,13076000000.0,150565000000.0,87063000000.0,24173000000.0,28661000000.0,13024726422.766771,3476239846.251211,4065298559.200311,6516790625.157295,13722965810.991226,150617325799.0831,85745577287.07632,26480608361.30848,31859659303.051983
2021-04-02,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0
2021-04-09,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13018954120.782309,3537161407.532193,4141525109.997304,6791296638.150172,13671350337.963055,150347877578.26138,85293569853.7861,26606630196.08996,31961759550.9805
2021-04-16,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13049514124.458122,3438433933.0739155,4180347652.7527637,6760311264.310321,13609893174.513906,150162970654.10098,85039095783.15866,26599664006.890385,31897639448.947018
2021-04-23,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13098698673.8391,3270398816.1263494,4218817187.059732,6637495419.177193,13529616029.640776,149953065180.91565,84770385543.38008,26556560612.483154,31767149270.026646
2021-04-30,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13163526431.736917,3046637296.190678,4256283271.711562,6439300643.4475355,13434506423.331892,149724947112.1023,84491246889.71268,26485779192.950127,31578798590.346447
2021-05-07,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13241016060.963238,2780730612.7680836,4292095465.5016065,6182178477.818093,13328551875.575474,149485402401.05765,84205487577.41884,26395778928.373165,31341096986.0335
2021-05-14,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13328186224.329727,2486260005.3597484,4325603327.223217,5882580462.985617,13215739906.35975,149241217001.1787,83916915361.76091,26295018998.834137,31062554033.21488
2021-05-21,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13422055584.648056,2176806713.466855,4356156415.669747,5556958139.646851,13100058035.672947,148999176865.86224,83629337998.00127,26191958584.414917,30751679308.017666
2021-05-28,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13519642804.729893,1865951976.5905867,4383104289.634551,5221763048.498543,12985493783.503286,148766067948.50516,83346563241.40228,26095056865.19737,30416982386.568924
2021-06-04,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13617966547.386898,1567277034.2321248,4405796507.910979,4893446730.237437,12876034669.838993,148548676202.50427,83072398847.22633,26012773021.263355,30066972844.995735
2021-06-11,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13714045475.430744,1294363125.8926535,4423582629.292385,4588460725.560285,12775668214.668295,148353787581.25644,82810652570.73575,25953566232.69474,29710160259.42518
2021-06-18,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13804898251.6731,1060791491.0733533,4435812212.572124,4323256575.16383,12688381937.979412,148188188038.1586,82565132167.19292,25925895679.573406,29355054205.984318
2021-06-25,ABBV,13010000000.0,3553000000.0,4103000000.0,6714000000.0,13710000000.0,150501000000.0,85530000000.0,26569000000.0,31951000000.0,13887543538.925629,880143369.2754078,4441834816.543543,4114285819.7448177,12618163359.76057,148058663526.60748,82339645391.86023,25938220541.981205,29010164260.800232
2021-07-02,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0
2021-07-09,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,14017118686.241762,728149025.7287357,4433019555.9774275,3926346758.3527064,12543918876.729862,147932718808.82928,81962775843.16675,26113921077.0926,28384394277.350048
2021-07-16,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,14063080203.131987,761203700.8649169,4419054214.482088,3953258144.13262,12542105000.158102,147936282891.9734,81811641158.0835,26277582170.24552,28116473057.1742
2021-07-23,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,14098897544.68563,855983682.7922702,4400626939.762825,4048162308.3960075,12561782878.536596,147975890585.40668,81681036277.7654,26481809519.82621,27884685581.43563
2021-07-30,ABBV,13959000000.0,766000000.0,4441000000.0,3978000000.0,12569000000.0,147972000000.0,82138000000.0,25999000000.0,28684000000.0,14126583704.917645,1003308628.8945214,4379260696.068482,4200487402.199138,12601177020.117235,148044740225.1035,81567401535.22757,26718429366.202133,27693481092.097527
