WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2021-01-22,ABT,10701000000.0,2162000000.0,2414000000.0,3368000000.0,32784000000.0,72548000000.0,19890000000.0,20441000000.0,11907000000.0,10701000000.0,2162000000.0,2414000000.0,3368000000.0,32784000000.0,72548000000.0,19890000000.0,20441000000.0,11907000000.0
2021-01-29,ABT,10701000000.0,2162000000.0,2414000000.0,3368000000.0,32784000000.0,72548000000.0,19890000000.0,20441000000.0,11907000000.0,10679732964.684765,2136186017.072383,2386743793.6241093,3350665625.6285715,32875708209.37803,72566541467.78548,19707478171.290974,20595749264.82566,11972962757.506443
2021-02-05,ABT,10701000000.0,2162000000.0,2414000000.0,3368000000.0,32784000000.0,72548000000.0,19890000000.0,20441000000.0,11907000000.0,10658269992.11591,2109700154.3221974,2359436448.240696,3332412122.4311695,32966573496.97557,72585395573.887,19527254635.230976,20749459180.267944,12038291408.497343
2021-02-12,ABT,10701000000.0,2162000000.0,2414000000.0,3368000000.0,32784000000.0,72548000000.0,19890000000.0,20441000000.0,11907000000.0,10636415145.039806,2081870531.9268746,2332026824.84224,3312320361.581819,33055752941.01214,72604874956.62056,19351627684.469048,20901090396.943485,12102351846.45716
2021-02-19,ABT,10701000000.0,2162000000.0,2414000000.0,3368000000.0,32784000000.0,72548000000.0,19890000000.0,20441000000.0,11907000000.0,10613972486.20284,2052025270.0638456,2304463784.4212184,3289471214.2545466,33142403619.70724,72625292254.30223,19182895611.654213,21049603565.4689,12164509964.870352
2021-02-26,ABT,10701000000.0,2162000000.0,2414000000.0,3368000000.0,32784000000.0,72548000000.0,19890000000.0,20441000000.0,11907000000.0,10590746078.351383,2019492488.910542,2276696187.9701095,3262945551.623378,33225682611.280403,72646960105.24803,19023356709.435505,21193959336.460827,12224131657.221373
2021-03-05,ABT,10701000000.0,2162000000.0,2414000000.0,3368000000.0,32784000000.0,72548000000.0,19890000000.0,20441000000.0,11907000000.0,10566539984.231817,1983600308.6443949,2248672896.4813924,3231824244.862339,33304746993.951134,72670191147.77399,18875309270.461956,21333118360.53589,12280582816.994686
2021-03-12,ABT,10701000000.0,2162000000.0,2414000000.0,3368000000.0,32784000000.0,72548000000.0,19890000000.0,20441000000.0,11907000000.0,10541158266.590517,1943676849.4428358,2220342770.9475446,3195188165.145456,33378753845.938946,72695298020.19612,18741051587.382603,21466041288.310707,12333229337.67475
2021-03-19,ABT,10701000000.0,2162000000.0,2414000000.0,3368000000.0,32784000000.0,72548000000.0,19890000000.0,20441000000.0,11907000000.0,10514404988.173862,1899050231.4832964,2191654672.361044,3152118183.6467543,33446860245.463352,72722593360.83049,18622881952.84647,21591688770.401917,12381437112.746016
2021-03-26,ABT,10701000000.0,2162000000.0,2414000000.0,3368000000.0,32784000000.0,72548000000.0,19890000000.0,20441000000.0,11907000000.0,10486084211.728231,1849048574.9432073,2162557461.7143703,3101695171.5402603,33508223270.743866,72752389807.9931,18523098659.50259,21709021457.42614,12424572035.692945
2021-04-02,ABT,10456000000.0,1793000000.0,2133000000.0,3043000000.0,33562000000.0,72785000000.0,18444000000.0,21817000000.0,12462000000.0,10456000000.0,1793000000.0,2133000000.0,3043000000.0,33562000000.0,72785000000.0,18444000000.0,21817000000.0,12462000000.0
