WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2021-01-22,CMCSA,27708000000.0,3380000000.0,3934000000.0,8712000000.0,90323000000.0,273869000000.0,108928000000.0,26741000000.0,28796000000.0,27708000000.0,3380000000.0,3934000000.0,8712000000.0,90323000000.0,273869000000.0,108928000000.0,26741000000.0,28796000000.0
2021-01-29,CMCSA,27708000000.0,3380000000.0,3934000000.0,8712000000.0,90323000000.0,273869000000.0,108928000000.0,26741000000.0,28796000000.0,27626529063.287556,3367745393.1205673,4060515215.527463,8691467775.840403,90551107594.24109,274477349289.0833,109034203289.76988,27134793329.35546,29058887197.889214
2021-02-05,CMCSA,27708000000.0,3380000000.0,3934000000.0,8712000000.0,90323000000.0,273869000000.0,108928000000.0,26741000000.0,28796000000.0,27546947274.25465,3355924398.779281,4186059811.9320493,8672658716.781385,90779038970.64938,275076962257.6161,109133685168.03856,27521065850.871193,29318053959.542717
2021-02-12,CMCSA,27708000000.0,3380000000.0,3934000000.0,8712000000.0,90323000000.0,273869000000.0,108928000000.0,26741000000.0,28796000000.0,27471143780.580833,3344970629.514291,4309663170.090883,8657295987.923534,91006617911.39209,275659102585.0479,109219724223.30484,27892296756.707478,29569779848.7248
2021-02-19,CMCSA,27708000000.0,3380000000.0,3934000000.0,8712000000.0,90323000000.0,273869000000.0,108928000000.0,26741000000.0,28796000000.0,27401007729.945637,3335317697.863742,4430354670.881086,8647102754.367426,91233668198.63641,276215033950.82825,109285599044.06749,28240965239.02459,29810344429.199753
2021-02-26,CMCSA,27708000000.0,3380000000.0,3934000000.0,8712000000.0,90323000000.0,273869000000.0,108928000000.0,26741000000.0,28796000000.0,27338428270.028614,3327399216.3657837,4547163695.179783,8643802181.213646,91460013614.54959,276736020034.40656,109324588218.82532,28559550489.982796,30036027264.731865
2021-03-05,CMCSA,27708000000.0,3380000000.0,3934000000.0,8712000000.0,90323000000.0,273869000000.0,108928000000.0,26741000000.0,28796000000.0,27285294548.5093,3321648797.5585623,4659119623.864099,8649117433.562773,91685477941.29877,277213324515.23224,109329970336.07712,28840531701.742386,30243107919.08543
2021-03-12,CMCSA,27708000000.0,3380000000.0,3934000000.0,8712000000.0,90323000000.0,273869000000.0,108928000000.0,26741000000.0,28796000000.0,27243495713.06724,3318500053.980226,4765251837.811154,8664771676.51539,91909884961.0512,277638211072.755,109295023984.3217,29076388066.463623,30427865956.02474
2021-03-19,CMCSA,27708000000.0,3380000000.0,3934000000.0,8712000000.0,90323000000.0,273869000000.0,108928000000.0,26741000000.0,28796000000.0,27214920911.381977,3318386598.168922,4864589717.898074,8692488075.17208,92133058455.97409,278001943386.4242,109213027752.05785,29259598776.30679,30586580939.314075
2021-03-26,CMCSA,27708000000.0,3380000000.0,3934000000.0,8712000000.0,90323000000.0,273869000000.0,108928000000.0,26741000000.0,28796000000.0,27201459291.13305,3321742042.6627975,4956162645.001981,8733989794.633423,92354822208.2346,278295785135.6894,109077260227.78435,29382643023.432156,30715532432.71773
