WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2021-01-22,CVX,24843000000.0,-665000000.0,-700000000.0,564000000.0,131688000000.0,239790000000.0,44315000000.0,26078000000.0,22183000000.0,24843000000.0,-665000000.0,-700000000.0,564000000.0,131688000000.0,239790000000.0,44315000000.0,26078000000.0,22183000000.0
2021-01-29,CVX,24843000000.0,-665000000.0,-700000000.0,564000000.0,131688000000.0,239790000000.0,44315000000.0,26078000000.0,22183000000.0,25532010214.62611,-431891607.43173516,-411819112.06221426,1283367182.933267,131696776066.61833,239978797435.76688,44483333718.79716,26553575699.877205,22801226850.62768
2021-02-05,CVX,24843000000.0,-665000000.0,-700000000.0,564000000.0,131688000000.0,239790000000.0,44315000000.0,26078000000.0,22183000000.0,26217037992.002155,-200535238.65548635,-126200702.181264,1996112112.355427,131706232371.6234,240167395026.94183,44648283575.84904,27026722569.458817,23414088437.58096
2021-02-12,CVX,24843000000.0,-665000000.0,-700000000.0,564000000.0,131688000000.0,239790000000.0,44315000000.0,26078000000.0,22183000000.0,26894100894.878067,27317082.53673029,154292751.58601516,2695612534.7553725,131717049153.40204,240355592928.9329,44806465709.410355,27495011778.449253,24016219497.18543
2021-02-19,CVX,24843000000.0,-665000000.0,-700000000.0,564000000.0,131688000000.0,239790000000.0,44315000000.0,26078000000.0,22183000000.0,27559216486.003777,249913332.3528989,427098771.1827881,3375246196.6219974,131729906650.34097,240543191297.14816,44954496257.735825,27956014496.55293,24602254765.76668
2021-02-26,CVX,24843000000.0,-665000000.0,-700000000.0,564000000.0,131688000000.0,239790000000.0,44315000000.0,26078000000.0,22183000000.0,28208402328.12921,465501487.0010032,689654878.5522187,4028390844.4441934,131745485100.82697,240729990286.99573,45088991359.08016,28407301893.47425,25166828979.65031
2021-03-05,CVX,24843000000.0,-665000000.0,-700000000.0,564000000.0,131688000000.0,239790000000.0,44315000000.0,26078000000.0,22183000000.0,28837675984.004314,672329522.6890272,939398595.6374719,4648424224.710854,131764464743.24681,240915790053.88364,45206567151.69808,28846445138.91763,25704576875.161922
2021-03-12,CVX,24843000000.0,-665000000.0,-700000000.0,564000000.0,131688000000.0,239790000000.0,44315000000.0,26078000000.0,22183000000.0,29443055016.37901,868645415.6249552,1173767444.3817124,5228724083.910872,131787525815.98727,241100390753.21994,45303839773.84431,29271015402.587486,26210133188.6271
2021-03-19,CVX,24843000000.0,-665000000.0,-700000000.0,564000000.0,131688000000.0,239790000000.0,44315000000.0,26078000000.0,22183000000.0,30020556988.00324,1052697142.0167705,1390198946.728104,5762668168.533141,131815348557.4351,241283592540.41272,45377425363.77357,29678583854.188225,26678132656.37144
2021-03-26,CVX,24843000000.0,-665000000.0,-700000000.0,564000000.0,131688000000.0,239790000000.0,44315000000.0,26078000000.0,22183000000.0,30566199461.626923,1222732678.0724576,1586130624.619812,6243634225.066552,131848613205.9771,241465195570.87003,45423940059.740555,30066721663.42426,27103210014.72054
