WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2021-01-22,EQIX,1564115000.0,50994000.0,228606000.0,561371000.0,10633988000.0,27038841000.0,13923339000.0,2609155000.0,2024750000.0,1564115000.0,50994000.0,228606000.0,561371000.0,10633988000.0,27038841000.0,13923339000.0,2609155000.0,2024750000.0
2021-01-29,EQIX,1564115000.0,50994000.0,228606000.0,561371000.0,10633988000.0,27038841000.0,13923339000.0,2609155000.0,2024750000.0,1566706531.2071476,66544385.59233464,237628127.07744822,578875696.7344625,10624454303.225937,27057945465.339806,13993998453.329538,2630479534.5057006,2005475045.0585396
2021-02-05,EQIX,1564115000.0,50994000.0,228606000.0,561371000.0,10633988000.0,27038841000.0,13923339000.0,2609155000.0,2024750000.0,1569334630.2199228,81790917.51240659,246521979.78656623,595998466.3941089,10615152018.377575,27077577835.81053,14064512636.760319,2651969624.4959044,1986209663.1438346
2021-02-12,EQIX,1564115000.0,50994000.0,228606000.0,561371000.0,10633988000.0,27038841000.0,13923339000.0,2609155000.0,2024750000.0,1572035864.8439527,96429742.08795314,255159283.75902387,612357381.9041237,10606312557.380613,27098266016.5431,14134736280.393578,2673790825.455114,1966963427.2826397
2021-02-19,EQIX,1564115000.0,50994000.0,228606000.0,561371000.0,10633988000.0,27038841000.0,13923339000.0,2609155000.0,2024750000.0,1574846802.8848648,110157005.64671153,263411764.6264909,627570516.1896906,10598167332.160755,27120537912.66843,14204524114.330557,2696108692.8678327,1947745910.5017104
2021-02-26,EQIX,1564115000.0,50994000.0,228606000.0,561371000.0,10633988000.0,27038841000.0,13923339000.0,2609155000.0,2024750000.0,1577804012.1482868,122668854.51641913,271151148.02063715,641255942.175994,10590947754.6437,27144921429.317444,14273730868.672497,2719088782.2185636,1928566685.827802
2021-03-05,EQIX,1564115000.0,50994000.0,228606000.0,561371000.0,10633988000.0,27038841000.0,13923339000.0,2609155000.0,2024750000.0,1580944060.4398456,133661435.0248132,278249159.57313246,653031732.7882179,10584885236.755148,27171944471.621063,14342211273.520638,2742896648.991809,1909435326.2876692
2021-03-12,EQIX,1564115000.0,50994000.0,228606000.0,561371000.0,10633988000.0,27038841000.0,13923339000.0,2609155000.0,2024750000.0,1584303515.5651689,142830893.49963102,284577524.9156466,662515960.9515463,10580211190.420803,27202134944.710205,14409820058.976217,2767697848.6720724,1890361404.9080675
2021-03-19,EQIX,1564115000.0,50994000.0,228606000.0,561371000.0,10633988000.0,27038841000.0,13923339000.0,2609155000.0,2024750000.0,1587918945.3298843,149873376.26860988,290007969.6798493,669326699.5911634,10577157027.56636,27236020753.715797,14476411955.140476,2793657936.7438564,1871354494.715752
2021-03-26,EQIX,1564115000.0,50994000.0,228606000.0,561371000.0,10633988000.0,27038841000.0,13923339000.0,2609155000.0,2024750000.0,1591826917.5396187,154485029.6594871,294412219.4974106,673082021.6322532,10575954160.117527,27274129803.768753,14541841692.114658,2820942468.6916647,1852424168.7374775
