WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2021-01-22,ISRG,1329100000.0,365200000.0,415800000.0,495600000.0,9759100000.0,11168900000.0,0.0,6625900000.0,965200000.0,1329100000.0,365200000.0,415800000.0,495600000.0,9759100000.0,11168900000.0,0.0,6625900000.0,965200000.0
2021-01-29,ISRG,1329100000.0,365200000.0,415800000.0,495600000.0,9759100000.0,11168900000.0,0.0,6625900000.0,965200000.0,1319993502.2143278,369836990.73177326,413332200.1682928,492086717.88556075,9799405535.444918,11200424739.904278,-179870.7946519886,6556031944.657605,955372319.5585471
2021-02-05,ISRG,1329100000.0,365200000.0,415800000.0,495600000.0,9759100000.0,11168900000.0,0.0,6625900000.0,965200000.0,1311214670.9611204,374563254.75252986,411020024.5688103,488743331.6568451,9839881038.43863,11232290404.66284,-348840.3290220385,6487007407.82081,945772983.3862733
2021-02-12,ISRG,1329100000.0,365200000.0,415800000.0,495600000.0,9759100000.0,11168900000.0,0.0,6625900000.0,965200000.0,1303091172.7728431,379468065.3512534,409019097.4337771,485739737.19957656,9880696476.529926,11264837919.129976,-496007.34282821097,6419669907.995216,936630335.7523574
2021-02-19,ISRG,1329100000.0,365200000.0,415800000.0,495600000.0,9759100000.0,11168900000.0,0.0,6625900000.0,965200000.0,1295950674.1819608,384640695.8169273,407485042.99541795,483245830.39947885,9922021817.267603,11298408208.159971,-610470.5757885673,6354862963.6864195,928172720.9259783
2021-02-26,ISRG,1329100000.0,365200000.0,415800000.0,495600000.0,9759100000.0,11168900000.0,0.0,6625900000.0,965200000.0,1290120841.7209382,390170419.4385349,406573485.48595756,481431507.1422755,9964027028.200447,11333342196.60711,-681328.767621169,6293430093.400022,920628483.1763151
2021-03-05,ISRG,1329100000.0,365200000.0,415800000.0,495600000.0,9759100000.0,11168900000.0,0.0,6625900000.0,965200000.0,1285929341.922241,396146509.5050597,406440049.13762057,480466663.3136901,10006882076.87726,11369980809.325682,-697680.658044077,6236214815.641622,914225966.7725468
2021-03-12,ISRG,1329100000.0,365200000.0,415800000.0,495600000.0,9759100000.0,11168900000.0,0.0,6625900000.0,965200000.0,1283703841.3183334,402658239.30548525,407240358.1826316,480521194.7994463,10050756930.846828,11408664971.16997,-648624.9867753527,6184060648.91682,909193515.983852
2021-03-19,ISRG,1329100000.0,365200000.0,415800000.0,495600000.0,9759100000.0,11168900000.0,0.0,6625900000.0,965200000.0,1283772006.4416807,409794882.12879485,409130036.8532154,481764997.4852676,10095821557.657944,11449735606.99426,-523260.4935330576,6137811111.731216,905759475.07941
2021-03-26,ISRG,1329100000.0,365200000.0,415800000.0,495600000.0,9759100000.0,11168900000.0,0.0,6625900000.0,965200000.0,1286461503.824748,417645711.2639719,412264709.3815966,484367967.25687766,10142245924.859404,11493533641.652843,-310685.91803525295,6098309722.59041,904152188.3283997
2021-04-02,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0
2021-04-09,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1300870032.8641994,435785419.4757791,422817420.94707096,494252765.0259056,10239785183.658113,11590544973.78903,411538.7017678634,6042602469.21003,907241708.5506158
2021-04-16,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1312373625.7712975,445883232.22987545,430102036.4871382,501405025.34805495,10290828608.530493,11643656322.369272,894032.352116393,6026145682.448314,911857929.1855551
2021-04-23,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1326067673.4395444,456313098.6507722,438364798.89095134,509657317.4054557,10343088840.343468,11699291171.989079,1409423.2968068677,6015935198.687111,918139731.2973524
2021-04-30,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1341409070.587189,466794679.1269521,447316660.42925984,518710177.63711566,10396324444.82338,11757006648.896795,1919653.8816005667,6010876576.898678,925778184.2785413
2021-05-07,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1357854711.9324799,477047634.0468982,456668573.3728132,528264142.4820426,10450293987.696562,11816359879.340773,2386666.4522587694,6009875376.055273,934464357.5216565
2021-05-14,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1374861492.193667,486791623.7990933,466131489.992361,538019748.3792443,10504756034.689348,11876907989.569363,2772403.3545427546,6011837155.129155,943889320.4192314
2021-05-21,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1391886306.0889993,495746308.77202046,475416362.5586528,547677531.7677283,10559469151.528078,11938208105.830914,3038806.9342138004,6015667473.092581,953744142.3638004
2021-05-28,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1408386048.3367257,503631349.3541626,484234143.342438,556938029.0865028,10614191903.939083,11999817354.373777,3147819.5370331877,6020271888.917809,963719892.7478977
2021-06-04,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1423817613.6550965,510166405.9340026,492295784.61446625,565501776.7745751,10668682857.6487,12061292861.446299,3061383.508762194,6024555961.577094,973507640.9640573
2021-06-11,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1437637896.7623599,515071138.90002346,499312238.64548707,573069311.2709533,10722700578.383265,12122191753.296833,2741441.1951621,6027425250.0427,982798456.4048133
2021-06-18,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1449303792.3767655,518065208.64070785,504994457.70624995,579341169.0146451,10776003631.869114,12182071156.17373,2149934.9419941828,6027785313.2868805,991283408.4626997
2021-06-25,ISRG,1292100000.0,426300000.0,416800000.0,488500000.0,10190200000.0,11540400000.0,0.0,6066400000.0,904600000.0,1458272195.2165623,518868275.54453915,509053394.0675044,584017886.4446579,10828350583.832579,12240488196.325335,1248807.0950197224,6024541710.281895,998653566.5302503
2021-07-02,ISRG,1464000000.0,517200000.0,511200000.0,586800000.0,10879500000.0,12297000000.0,0.0,6016600000.0,1004600000.0,1464000000.0,517200000.0,511200000.0,586800000.0,10879500000.0,12297000000.0,0.0,6016600000.0,1004600000.0
2021-07-09,ISRG,1464000000.0,517200000.0,511200000.0,586800000.0,10879500000.0,12297000000.0,0.0,6016600000.0,1004600000.0,1466129283.9051094,512888114.43386245,511240372.47576237,587483766.3730366,10929271386.444448,12351290152.539673,-1604871.927897248,6003202628.379083,1008911875.0918334
2021-07-16,ISRG,1464000000.0,517200000.0,511200000.0,586800000.0,10879500000.0,12297000000.0,0.0,6016600000.0,1004600000.0,1465042853.9490483,506192639.4260544,509361187.2719214,586248323.2695646,10977728010.62594,12403548075.660685,-3455505.9958784394,5984939589.219545,1011770745.3350394
2021-07-23,ISRG,1464000000.0,517200000.0,511200000.0,586800000.0,10879500000.0,12297000000.0,0.0,6016600000.0,1004600000.0,1461308699.6087575,497481667.5947931,505844264.8668834,583368528.6487384,11024994080.351238,12454089650.172966,-5411927.441743533,5962737763.2874155,1013456261.0862584
2021-07-30,ISRG,1464000000.0,517200000.0,511200000.0,586800000.0,10879500000.0,12297000000.0,0.0,6016600000.0,1004600000.0,1455494810.3611763,487123291.5582955,500971425.7390543,579119240.4697127,11071193803.427095,12503230756.886444,-7334161.503292488,5937524031.348723,1014248072.7021308
2021-08-06,ISRG,1464000000.0,517200000.0,511200000.0,586800000.0,10879500000.0,12297000000.0,0.0,6016600000.0,1004600000.0,1448169175.6832452,475485603.93477875,495024490.3668401,573775316.6916422,11116451387.660275,12551287276.61105,-9082233.418325262,5910225274.169497,1014425830.5392965
2021-08-13,ISRG,1464000000.0,517200000.0,511200000.0,586800000.0,10879500000.0,12297000000.0,0.0,6016600000.0,1004600000.0,1439899785.0519042,462936697.34245974,488285279.2286472,567611615.2736809,11160891040.857527,12598575090.156713,-10516168.424641816,5881768372.515767,1014269184.9543957
