WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2021-01-22,MCD,5313800000.0,1377200000.0,2142900000.0,2617000000.0,-7824900000.0,52626800000.0,51463200000.0,6243200000.0,6181200000.0,5313800000.0,1377200000.0,2142900000.0,2617000000.0,-7824900000.0,52626800000.0,51463200000.0,6243200000.0,6181200000.0
2021-01-29,MCD,5313800000.0,1377200000.0,2142900000.0,2617000000.0,-7824900000.0,52626800000.0,51463200000.0,6243200000.0,6181200000.0,5275207511.598075,1381627302.5703647,2153481904.2965326,2620964632.2577443,-7786171211.425203,52423100699.076324,51229862573.44628,6147318664.81355,6007419654.420329
2021-02-05,MCD,5313800000.0,1377200000.0,2142900000.0,2617000000.0,-7824900000.0,52626800000.0,51463200000.0,6243200000.0,6181200000.0,5237807295.22051,1386755980.7425256,2164261268.93873,2625232014.0756254,-7746217500.945849,52222512264.87529,50999087415.16855,6052549531.759612,5834465996.451548
2021-02-12,MCD,5313800000.0,1377200000.0,2142900000.0,2617000000.0,-7824900000.0,52626800000.0,51463200000.0,6243200000.0,6181200000.0,5202791622.891663,1393287410.1182787,2175435554.272256,2630104895.01378,-7703813946.657379,52028145564.11955,50773436793.44279,5960004802.9707,5663165713.704545
2021-02-19,MCD,5313800000.0,1377200000.0,2142900000.0,2617000000.0,-7824900000.0,52626800000.0,51463200000.0,6243200000.0,6181200000.0,5171352766.635892,1401922966.2994199,2187202220.642777,2635886024.6323447,-7657735626.655235,51843111463.53175,50555472976.54497,5870796680.579323,5494345493.790209
2021-02-26,MCD,5313800000.0,1377200000.0,2142900000.0,2617000000.0,-7824900000.0,52626800000.0,51463200000.0,6243200000.0,6181200000.0,5144682998.477557,1413364024.8877454,2199758728.395956,2642878152.491456,-7606757619.034862,51670520829.83455,50347758232.751076,5786037366.717994,5328832024.319429
2021-03-05,MCD,5313800000.0,1377200000.0,2142900000.0,2617000000.0,-7824900000.0,52626800000.0,51463200000.0,6243200000.0,6181200000.0,5123974590.441019,1428311961.4850512,2213302537.877459,2651384028.1512513,-7549655001.891698,51513484529.75058,50152854830.337105,5706839063.519225,5167451992.903096
2021-03-12,MCD,5313800000.0,1377200000.0,2142900000.0,2617000000.0,-7824900000.0,52626800000.0,51463200000.0,6243200000.0,6181200000.0,5110419814.550635,1447468151.6931334,2228031109.4329505,2661706401.171867,-7485202853.321188,51375113430.002495,49973325037.57903,5634313973.11553,5011032087.152097
2021-03-19,MCD,5313800000.0,1377200000.0,2142900000.0,2617000000.0,-7824900000.0,52626800000.0,51463200000.0,6243200000.0,6181200000.0,5105210942.830764,1471533971.1137884,2244141903.4080944,2674148021.1134386,-7412176251.418774,51258518397.312935,49811731122.75283,5569574297.639419,4860398994.677321
2021-03-26,MCD,5313800000.0,1377200000.0,2142900000.0,2617000000.0,-7824900000.0,52626800000.0,51463200000.0,6243200000.0,6181200000.0,5109540247.305766,1501210795.3488119,2261832380.1485558,2689011637.536104,-7329350274.279897,51166810298.40455,49670635354.13449,5513732239.223405,4716379403.089659
2021-04-02,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0
2021-04-09,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5151149413.609623,1579893760.7705808,2302699053.741206,2727131628.8200903,-7130016393.826117,51069430999.53407,49459267679.0214,5432922223.427653,4451522672.028741
2021-04-16,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5188215463.517987,1628447453.7695115,2326011153.883416,2750488127.3306465,-7014753969.611642,51063577317.2902,49388602411.45496,5408573318.268561,4332550101.834321
2021-04-23,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5234392065.780244,1681707255.2071803,2351174743.370987,2776466869.620769,-6892183128.361567,51082245604.26396,49337648567.95307,5394360134.610861,4223920171.0846868
2021-04-30,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5288273136.451544,1738519341.2939763,2378128265.148275,2804865229.7795563,-6764774271.080876,51122142511.45095,49303450519.16804,5389789522.542686,4126670761.4477863
2021-05-07,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5348452591.587035,1797729888.2402875,2406810162.159637,2835480581.8961086,-6634997798.774559,51179974689.84674,49283052635.75225,5394368332.152171,4041839754.5915666
2021-05-14,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5413524347.241871,1858185072.2565038,2437158877.349429,2868110300.059526,-6505324112.447603,51252448790.44692,49273499288.358025,5407603413.527452,3970465032.183974
2021-05-21,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5482082319.471201,1918731069.5530133,2469112853.6620092,2902551758.3589067,-6378223613.104997,51336271464.24707,49271834847.637726,5429001616.756663,3913584475.8929577
2021-05-28,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5552720424.330177,1978214056.3402047,2502610534.0417333,2938602330.8833504,-6256166701.751727,51428149362.24277,49275103684.24371,5458069791.927937,3872235967.3864646
2021-06-04,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5624032577.873948,2035480208.8284674,2537590361.432958,2976059391.721957,-6141623779.392781,51524789135.4296,49280350168.828316,5494314789.129412,3847457388.3324413
2021-06-11,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5694612696.157665,2089375703.2281892,2573990778.7800403,3014720314.963825,-6037065247.033148,51622897434.80317,49284618672.0439,5537243458.449221,3840286620.398836
2021-06-18,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5763054695.236479,2138746715.7497592,2611750229.0273366,3054382474.698056,-5944961505.677815,51719180911.35903,49284953564.54281,5586362649.975497,3851761545.2535963
2021-06-25,MCD,5124600000.0,1537200000.0,2281300000.0,2706600000.0,-7235500000.0,51103100000.0,49552600000.0,5467900000.0,4579800000.0,5827952491.165541,2182439422.6035666,2650807155.119205,3094843245.0137477,-5867782956.33177,51810346216.09278,49278399216.97739,5641179213.796379,3882920044.5646677
2021-07-02,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0
2021-07-09,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,5941775310.169003,2248446870.894437,2732424800.0902176,3177269377.455342,-5767144096.863983,51965069270.472,49233714250.71286,5765961548.593666,4007587437.0204916
2021-07-16,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,5989593199.597675,2270087445.22221,2774007965.714904,3218345070.016023,-5742990943.811145,52027562460.483055,49195156172.0177,5835119159.261377,4098060956.2588544
2021-07-23,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,6031652618.585141,2284701379.663642,2814933500.6752424,3258440034.0277214,-5732377296.905405,52082808359.403145,49148853933.26611,5908357821.606304,4202147302.14075
2021-07-30,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,6068252517.430518,2292768330.899054,2854285408.772418,3296867225.8361163,-5732139912.210677,52133035756.60229,49097335703.80972,5985362525.231617,4315773219.091844
2021-08-06,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,6099691846.432928,2294767955.6087685,2891147693.8076134,3332939601.786886,-5739115545.790881,52180473441.45044,49043129653.000114,6065818259.740486,4434865451.537797
2021-08-13,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,6126269555.891495,2291179910.473108,2924604359.582014,3365970118.22571,-5750140953.709932,52227350203.31762,48988763950.188896,6149410014.736083,4555350743.904274
2021-08-20,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,6148284596.105338,2282483852.1723924,2953739409.8968024,3395271731.498266,-5762052892.031745,52275894831.573814,48936766764.72768,6235822779.82158,4673155840.616939
2021-08-27,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,6166035917.373578,2269159437.3869457,2977636848.553164,3420157397.9502344,-5771688116.82024,52328336115.58902,48889666265.96805,6324741544.600145,4784207486.101454
2021-09-03,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,6179822469.995338,2251686322.7970886,2995380679.3522825,3439940073.927292,-5775883384.139332,52386902844.73323,48849990623.26162,6415851298.6749525,4884432424.783483
2021-09-10,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,6189943204.269739,2230544165.0831437,3006054906.0953403,3453932715.7751193,-5771475450.052936,52453823808.37644,48820268005.96001,6508837031.649171,4969757401.088688
2021-09-17,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,6196697070.495903,2206212620.925432,3008743532.583524,3461448279.839393,-5755301070.624971,52531327795.88864,48803026583.41479,6603383733.125971,5036109159.442733
2021-09-24,MCD,5887900000.0,2219300000.0,2691100000.0,3135900000.0,-5808000000.0,51893100000.0,49262000000.0,5701200000.0,3934800000.0,6200383018.97295,2179171347.004277,3002530562.618016,3461799722.465794,-5724197001.9193535,52621643596.63983,48800794524.977585,6699176392.708523,5079414444.271284
2021-10-01,MCD,6201300000.0,2149900000.0,2986500000.0,3454300000.0,-5675000000.0,52727000000.0,48816100000.0,6795900000.0,5095600000.0,6201300000.0,2149900000.0,2986500000.0,3454300000.0,-5675000000.0,52727000000.0,48816100000.0,6795900000.0,5095600000.0
2021-10-08,MCD,6201300000.0,2149900000.0,2986500000.0,3454300000.0,-5675000000.0,52727000000.0,48816100000.0,6795900000.0,5095600000.0,6199706833.197297,2118811837.12641,2960158778.2147183,3438514803.0972757,-5605753600.147176,52848430926.31573,48850373224.36294,6892854386.021076,5081974097.868355
2021-10-15,MCD,6201300000.0,2149900000.0,2986500000.0,3454300000.0,-5675000000.0,52727000000.0,48816100000.0,6795900000.0,5095600000.0,6195701815.46955,2086054517.7312706,2924705549.48364,3415020759.6512337,-5519328454.506545,52982190819.83992,48900652600.0646,6987798747.4624405,5041371116.371046
2021-10-22,MCD,6201300000.0,2149900000.0,2986500000.0,3454300000.0,-5675000000.0,52727000000.0,48816100000.0,6795900000.0,5095600000.0,6189343113.0426,2051709301.6958308,2881761895.712293,3384647231.8650675,-5419801994.440119,53123339255.802086,48962878575.63244,7078107122.432287,4978006960.816583
2021-10-29,MCD,6201300000.0,2149900000.0,2986500000.0,3454300000.0,-5675000000.0,52727000000.0,48816100000.0,6795900000.0,5095600000.0,6180688892.142273,2015857448.9013417,2832949398.8062043,3348223581.9419775,-5311251651.309913,53266935809.43169,49032991599.59398,7161153549.038812,4896097536.51347
2021-11-05,MCD,6201300000.0,2149900000.0,2986500000.0,3454300000.0,-5675000000.0,52727000000.0,48816100000.0,6795900000.0,5095600000.0,6169797318.994406,1978580219.229053,2779889640.670901,3306579172.085158,-5197754856.477939,53408040055.95825,49106932120.4767,7234312065.390207,4799858748.770219
2021-11-12,MCD,6201300000.0,2149900000.0,2986500000.0,3454300000.0,-5675000000.0,52727000000.0,48816100000.0,6795900000.0,5095600000.0,6156726559.824831,1939958872.5602155,2724204203.2119093,3260543364.497807,-5083389041.306208,53541711570.611244,49180640586.8081,7294956709.594667,4693506502.895332
