WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2021-01-22,TTE,32348000000.0,891000000.0,1296000000.0,5349000000.0,103702000000.0,266132000000.0,77302000000.0,79679000000.0,64676000000.0,32348000000.0,891000000.0,1296000000.0,5349000000.0,103702000000.0,266132000000.0,77302000000.0,79679000000.0,64676000000.0
2021-01-29,TTE,32348000000.0,891000000.0,1296000000.0,5349000000.0,103702000000.0,266132000000.0,77302000000.0,79679000000.0,64676000000.0,33092662983.398937,1231748053.5735183,1744054019.1821632,5844415807.434488,104429787944.90695,266581326963.3217,76844084612.36781,80207111721.6081,65363184467.58133
2021-02-05,TTE,32348000000.0,891000000.0,1296000000.0,5349000000.0,103702000000.0,266132000000.0,77302000000.0,79679000000.0,64676000000.0,33830285785.98582,1566711376.627429,2186571431.141165,6331873081.085069,105147364499.21352,267021761383.41174,76387921672.47092,80725246975.23993,66041036543.18803
2021-02-12,TTE,32348000000.0,891000000.0,1296000000.0,5349000000.0,103702000000.0,266132000000.0,77302000000.0,79679000000.0,64676000000.0,34553828226.948586,1890105238.6421254,2618015628.6538444,6803413287.167833,105844518272.3192,267444410717.03857,75935263628.04459,81223429292.9193,66700223834.845474
2021-02-19,TTE,32348000000.0,891000000.0,1296000000.0,5349000000.0,103702000000.0,266132000000.0,77302000000.0,79679000000.0,64676000000.0,35256250125.47519,2196144909.0980005,3032850004.497039,7251077891.898871,106511037873.62364,267840382420.97055,75487862926.82413,81691682206.66989,67331413950.57904
2021-02-26,TTE,32348000000.0,891000000.0,1296000000.0,5349000000.0,103702000000.0,266132000000.0,77302000000.0,79679000000.0,64676000000.0,35930511300.753555,2479045657.4754467,3425537951.4475884,7666908361.494276,107136711912.52638,268200783951.97607,75047472016.54477,82120029248.5155,67925274498.414116
2021-03-05,TTE,32348000000.0,891000000.0,1296000000.0,5349000000.0,103702000000.0,266132000000.0,77302000000.0,79679000000.0,64676000000.0,36569571571.971634,2733022753.2548575,3790542862.28233,8042946162.170138,107711328998.42702,268516722766.8235,74615843344.94185,82498493950.47989,68472473086.37606
2021-03-12,TTE,32348000000.0,891000000.0,1296000000.0,5349000000.0,103702000000.0,266132000000.0,77302000000.0,79679000000.0,64676000000.0,37166390758.31738,2952291465.9166255,4122328129.778104,8371232760.14255,108224677740.72511,268779306322.2812,74194729359.75063,82817099844.58676,68963677322.49023
2021-03-19,TTE,32348000000.0,891000000.0,1296000000.0,5349000000.0,103702000000.0,266132000000.0,77302000000.0,79679000000.0,64676000000.0,37713928678.97873,3131067064.9411435,4415357146.711747,8643809621.627605,108666546748.82025,268979642075.1176,73785882508.70638,83065870462.85991,69389554814.78204
2021-03-26,TTE,32348000000.0,891000000.0,1296000000.0,5349000000.0,103702000000.0,266132000000.0,77302000000.0,79679000000.0,64676000000.0,38205145153.143616,3263564819.8088045,4664093305.860101,8852718212.841389,109026724632.11203,269108837482.10107,73391055239.5444,83234829337.32306,69740773171.27682
