WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2021-01-22,UNH,65467000000.0,2212000000.0,3517000000.0,4249000000.0,65491000000.0,197289000000.0,43467000000.0,53718000000.0,72420000000.0,65467000000.0,2212000000.0,3517000000.0,4249000000.0,65491000000.0,197289000000.0,43467000000.0,53718000000.0,72420000000.0
2021-01-29,UNH,65467000000.0,2212000000.0,3517000000.0,4249000000.0,65491000000.0,197289000000.0,43467000000.0,53718000000.0,72420000000.0,66031154133.17652,2551594880.592142,3930779634.108679,4665686278.2967005,65550030814.61463,198165921706.57895,43760641937.48857,54465306492.28063,73551535475.88133
2021-02-05,UNH,65467000000.0,2212000000.0,3517000000.0,4249000000.0,65491000000.0,197289000000.0,43467000000.0,53718000000.0,72420000000.0,66589777712.8272,2886668859.330215,4339008987.362286,5076803691.2420845,65611017337.43443,199037466340.03192,44053402545.43238,55202412591.08971,74664317286.55772
2021-02-12,UNH,65467000000.0,2212000000.0,3517000000.0,4249000000.0,65491000000.0,197289000000.0,43467000000.0,53718000000.0,72420000000.0,67137340185.42617,3212701034.3601503,4736137778.905751,5476783373.484839,65675915276.66459,199898256827.23288,44344400494.28667,55919117902.95568,75739591766.82428
2021-02-19,UNH,65467000000.0,2212000000.0,3517000000.0,4249000000.0,65491000000.0,197289000000.0,43467000000.0,53718000000.0,72420000000.0,67668310997.44759,3525170503.8278766,5116615727.884001,5860056459.67365,65746680340.51027,200742916095.05585,44632754454.50667,56605222034.40699,76758605251.47603
2021-02-26,UNH,65467000000.0,2212000000.0,3517000000.0,4249000000.0,65491000000.0,197289000000.0,43467000000.0,53718000000.0,72420000000.0,68177159595.365616,3819556365.879327,5474892553.441965,6221054084.457198,65825268237.176636,201566067070.37485,44917583096.54762,57250524591.97208,77702604075.30807
2021-03-05,UNH,65467000000.0,2212000000.0,3517000000.0,4249000000.0,65491000000.0,197289000000.0,43467000000.0,53718000000.0,72420000000.0,68658355425.654396,4091337718.6604304,5805417974.724572,6554207382.484171,65913634674.86887,202362332680.06384,45198005090.86476,57844825182.179405,78552834573.11548
2021-03-12,UNH,65467000000.0,2212000000.0,3517000000.0,4249000000.0,65491000000.0,197289000000.0,43467000000.0,53718000000.0,72420000000.0,69106367934.78807,4335993660.317119,6102641710.87675,6853947488.403253,66013735361.79216,203126335850.99686,45473139107.91333,58377923411.55742,79290543079.69328
2021-03-19,UNH,65467000000.0,2212000000.0,3517000000.0,4249000000.0,65491000000.0,197289000000.0,43467000000.0,53718000000.0,72420000000.0,69515666569.2408,4549003288.995322,6361013481.043429,7114705536.863129,66127526006.15166,203852699510.04788,45742103818.14857,58839618886.63456,79896975929.83661
2021-03-26,UNH,65467000000.0,2212000000.0,3517000000.0,4249000000.0,65491000000.0,197289000000.0,43467000000.0,53718000000.0,72420000000.0,69880720775.48672,4725845702.840973,6574983004.369536,7330912662.512483,66256962316.15254,204536046584.09094,46004017892.02571,59219711213.93927,80353379458.34047
