WeekEndingFriday,symbol,revenue,netIncome,operatingIncome,ebitda,totalStockholdersEquity,totalAssets,totalDebt,totalCurrentAssets,totalCurrentLiabilities,sm-revenue,sm-netIncome,sm-operatingIncome,sm-ebitda,sm-totalStockholdersEquity,sm-totalAssets,sm-totalDebt,sm-totalCurrentAssets,sm-totalCurrentLiabilities
2021-01-22,UNP,5141000000.0,1380000000.0,2006000000.0,2629000000.0,16958000000.0,62398000000.0,28333000000.0,4214000000.0,4173000000.0,5141000000.0,1380000000.0,2006000000.0,2629000000.0,16958000000.0,62398000000.0,28333000000.0,4214000000.0,4173000000.0
2021-01-29,UNP,5141000000.0,1380000000.0,2006000000.0,2629000000.0,16958000000.0,62398000000.0,28333000000.0,4214000000.0,4173000000.0,5112441430.642183,1363935026.1220877,1993198133.917277,2608027349.579362,16911651649.932673,62317113308.60429,28263577214.206093,4152802155.414875,4274090783.438149
2021-02-05,UNP,5141000000.0,1380000000.0,2006000000.0,2629000000.0,16958000000.0,62398000000.0,28333000000.0,4214000000.0,4173000000.0,5084765198.821203,1348607323.3882916,1981093350.6274467,2587828799.1842175,16863845624.111847,62237462174.26286,28197234597.248188,4092313271.107637,4373285155.758834
2021-02-12,UNP,5141000000.0,1380000000.0,2006000000.0,2629000000.0,16958000000.0,62398000000.0,28333000000.0,4214000000.0,4173000000.0,5058853642.0739,1334754162.942727,1970382732.9234006,2569178448.840059,16813124246.784035,62160282154.03001,28137052317.962265,4033242307.356171,4468686705.844592
2021-02-19,UNP,5141000000.0,1380000000.0,2006000000.0,2629000000.0,16958000000.0,62398000000.0,28333000000.0,4214000000.0,4173000000.0,5035589097.937107,1323112815.9295106,1961763363.5980315,2552850398.57238,16758029842.195734,62086808804.96001,28086110545.184326,3976298224.4383645,4558399022.577959
2021-02-26,UNP,5141000000.0,1380000000.0,2006000000.0,2629000000.0,16958000000.0,62398000000.0,28333000000.0,4214000000.0,4173000000.0,5015853903.947664,1314420553.492757,1955932325.4442317,2539618748.4066744,16697104734.593454,62018277684.10715,28047489447.750362,3922189982.6321025,4640525694.841473
2021-03-05,UNP,5141000000.0,1380000000.0,2006000000.0,2629000000.0,16958000000.0,62398000000.0,28333000000.0,4214000000.0,4173000000.0,5000530397.642407,1309414646.7765832,1953586701.2548933,2530257598.3684344,16628891248.223696,61955924348.52572,28024269194.496376,3871626542.215273,4713170311.517669
2021-03-12,UNP,5141000000.0,1380000000.0,2006000000.0,2629000000.0,16958000000.0,62398000000.0,28333000000.0,4214000000.0,4173000000.0,4990500916.558177,1308832366.9251049,1955423573.8229086,2525541048.483154,16551931707.332968,61900984355.270004,28019529954.258347,3825316863.4657617,4774436461.489082
2021-03-19,UNP,5141000000.0,1380000000.0,2006000000.0,2629000000.0,16958000000.0,62398000000.0,28333000000.0,4214000000.0,4173000000.0,4986647798.231806,1313410985.0824375,1962140025.94117,2526243198.7763257,16464768436.167772,61854693261.39429,28036351895.87228,3783969906.661455,4822427733.638251
2021-03-26,UNP,5141000000.0,1380000000.0,2006000000.0,2629000000.0,16958000000.0,62398000000.0,28333000000.0,4214000000.0,4173000000.0,4989853380.200135,1323887772.3926973,1974433140.4025698,2533138149.2734437,16365943758.974615,61818286623.95286,28077815188.174168,3748294632.080239,4855247716.847712
