,PLS_Comp_1,PLS_Comp_2,PLS_Comp_3
ab,-0.0012858101304469693,-0.006272065220985534,-0.00836359792452369
abb,2.5988359882504347e-05,-0.01124427195905675,-0.0037122602617111165
abc,-0.014864867060417406,0.0018542472414670907,-0.005192525300193617
abil,0.019857897019975358,-0.034721109703978806,-0.020312130438109293
abl,0.02942759497868973,-0.0608941917687935,-0.029695112667025438
abn,-0.003862043832662917,-0.005255747330050675,0.007198288006951652
abp,0.021540589419871976,0.005106471549516369,0.016403774289856756
abroad,-0.0010698199774331855,0.002891663336929979,0.024647165329463133
ac,-0.008054285756874809,-0.012182265571791214,-0.0029243308041683336
access,-0.018736081250990935,-0.01294467960185412,-0.01883548146697195
accessori,-0.014623933895775751,-0.00521779968207172,-0.0007122205008478382
accommod,-0.003380835634081337,0.016271577156994416,-0.004193133149881776
accord,-0.01770498597458293,0.0037424505168841098,-0.01936370946484386
account,-0.014440964816577848,0.00815125222167955,0.03547771278446906
acgv,0.020103634785934476,-0.021450346561429818,0.041770010127557974
achiev,0.008020349339155781,-0.018265186841574632,0.004529650585683447
acknowledg,0.01021359124806097,0.004342065450356839,-0.01984865436175941
acquir,-0.03938204404830433,-0.004734246991352194,0.00857705658289572
acquisit,-0.0040747549815196345,-0.043676671670193394,-0.010387814966808124
across,-0.021927535578416597,0.013185764013109745,-0.01507544365897071
act,-0.029319869051958197,0.0038928694306011877,0.007846277295917928
action,0.003923733378358577,-0.0013090472349624798,-0.007259823401541633
activ,-0.023399486187975726,0.006625223478963248,0.006775215073250056
actual,-0.014492255774432588,0.008493037914711397,-0.03073122806533259
ad,0.0018076969537970415,0.021771194303321327,-0.027380896690794514
adapt,0.014157945188505156,-0.028178296271167854,-0.005539981085671898
add,0.01880830510760793,-0.039622481119527854,-0.014947465770472911
addit,0.0045666171400049055,-0.010207277413627007,-0.042428652133262613
address,-0.007969517441035388,-0.009215810889814461,-0.0037987878552128308
adjust,0.005890242835563322,-0.008251164054022037,0.004054346815451328
administr,-0.0029773781711673014,0.01957710885796709,-0.024031630461857332
adopt,-0.007570905336733222,-0.004060151625838963,-0.0016799679394222896
adp,0.05492349652799057,-0.001311679481072098,0.025074593169892013
adpnew,0.035658458192024484,0.057452342595802515,-0.003655913795334136
advanc,-0.0035903759964271854,-0.016660895320719613,-0.005061541648971535
advantag,0.003874324678631575,-0.01830006358277796,-0.000611673955443936
advertis,0.010013000683050517,-0.004594181008671293,-0.026132003474951798
advis,-0.004226022432145886,-0.007246413043195796,-0.002766906022666574
advisori,-0.009604657345785157,0.014615338859192731,-0.0036542475703755677
afev,0.021893921727242138,0.0010453396550291368,0.018249330381595794
affair,-0.014700489914631939,0.003714597559369962,0.002336748938552609
affarsvarlden,0.007065827343310063,-0.018346978721050868,-0.005202053834941423
affect,0.018582074717703862,0.04562767682984768,-0.043655929408007194
affecto,0.011711519693866766,-0.018283475631128886,0.0076217508203738835
affectogenimap,0.007143645025752497,0.004535239856175853,-0.011449922550094027
africa,0.0181570673981995,-0.041431481997029035,-0.022416105986533822
afternoon,0.029581572000141613,0.010843122683544149,-0.03971567958077409
afx,0.001267271530510912,-0.01214554585043779,0.0008904347658656368
ag,0.0017582346949187426,0.0037536516635191496,-0.009783280378497027
agenc,-0.016841000090479556,0.006891037028103269,0.012869121828610377
agenda,-0.014526889824444793,0.003935171242788866,0.0015526435209835079
agent,-0.004207053783516157,-0.005954209916324979,0.004426323539015954
aggreg,-0.002657395863225203,0.015535139013089703,-0.019008374874795394
ago,0.05539477137952173,-0.010958207250352162,0.02028960961390095
agre,-0.008480236065878869,-0.015884277781859135,-0.011877191951174587
agreement,0.00936921831292699,-0.07230782511937098,-0.019029165325004167
agricultur,0.014289739657139084,-0.005810782540765825,-0.018364522965135553
ahead,0.01531721432066548,-0.024778748775692368,0.008772071777063645
ahlstrom,-0.02938583134386344,0.0042059208863810624,0.008526025571087593
aho,-0.0052857964407747255,-0.004759085714108013,-0.0016434355633794743
aim,0.021791829104438623,-0.059641354968139215,-0.002003724604168317
air,0.005959011581263555,0.013997825005154518,-0.02699883847968636
