"companyName","Ticker","sector","date","actual_value","predicted_value","predicted_probability","best_model","test_accuracy","delta_null_model","delta_always_one","delta_always_zero","NEWS_FINBERT_Granger_Score","NEWS_Sentiment_Mean"
"Equinix, Inc.","EQIX","Real Estate","2026-03-13","Down","Down",0.810993,"lasso_logistic",0.521739,0.130435,-0.086957,0.130435,-0.960056,-0.037500
"Equinix, Inc.","EQIX","Real Estate","2026-03-06","Up","Down",0.804392,"lasso_logistic",0.521739,0.130435,-0.086957,0.130435,0.146224,-0.053475
"Simon Property Group, Inc.","SPG","Real Estate","2026-01-23","Up","Down",0.740243,"lasso_logistic",0.521739,0.130435,-0.086957,0.130435,0.854676,-0.614600
"Equinix, Inc.","EQIX","Real Estate","2026-03-27","Up","Down",0.733236,"lasso_logistic",0.521739,0.130435,-0.086957,0.130435,1.719070,0.015900
"Equinix, Inc.","EQIX","Real Estate","2026-02-27","Down","Down",0.721662,"lasso_logistic",0.521739,0.130435,-0.086957,0.130435,0.613630,0.754167
"Public Storage","PSA","Real Estate","2026-02-13","Up","Down",0.714871,"lasso_logistic",0.521739,0.130435,-0.086957,0.130435,2.203005,-0.063000
"Equinor ASA","EQNR","Energy","2026-03-20","Down","Down",0.705262,"logistic_regression",0.318841,-0.478261,-0.478261,0.115942,-0.827110,0.139925
"CoStar Group, Inc.","CSGP","Real Estate","2026-02-06","Down","Down",0.695515,"lasso_logistic",0.521739,0.130435,-0.086957,0.130435,-0.803026,-0.279300
"ConocoPhillips","COP","Energy","2026-03-13","Up","Down",0.681452,"logistic_regression",0.318841,-0.478261,-0.478261,0.115942,1.525779,0.890200
"Simon Property Group, Inc.","SPG","Real Estate","2026-01-30","Up","Down",0.676673,"lasso_logistic",0.521739,0.130435,-0.086957,0.130435,-1.416514,-0.050300
"ConocoPhillips","COP","Energy","2026-01-30","Up","Down",0.676017,"logistic_regression",0.318841,-0.478261,-0.478261,0.115942,0.116539,0.912100
"CoStar Group, Inc.","CSGP","Real Estate","2026-01-30","Down","Down",0.666652,"lasso_logistic",0.521739,0.130435,-0.086957,0.130435,-1.325996,0.506500
"Equinor ASA","EQNR","Energy","2026-03-27","Up","Down",0.662562,"logistic_regression",0.318841,-0.478261,-0.478261,0.115942,-0.246786,-0.076250
"Exxon Mobil Corporation","XOM","Energy","2026-03-27","Down","Down",0.662243,"logistic_regression",0.318841,-0.478261,-0.478261,0.115942,-0.635533,0.261464
"ConocoPhillips","COP","Energy","2026-03-27","Down","Down",0.659485,"logistic_regression",0.318841,-0.478261,-0.478261,0.115942,-0.597142,0.643267
"PayPal Holdings, Inc.","PYPL","Financial Services","2026-02-13","Up","Down",0.649049,"random_forest",0.586207,0.149425,0.149425,0.022989,-0.659554,0.271875
"PayPal Holdings, Inc.","PYPL","Financial Services","2026-02-27","Up","Down",0.645873,"random_forest",0.586207,0.149425,0.149425,0.022989,0.869165,-0.282565
"PayPal Holdings, Inc.","PYPL","Financial Services","2026-02-20","Up","Down",0.643341,"random_forest",0.586207,0.149425,0.149425,0.022989,0.895224,-0.044050
"Shell plc","SHEL","Energy","2026-03-13","Up","Down",0.642312,"logistic_regression",0.318841,-0.478261,-0.478261,0.115942,1.267741,0.358150
"NextEra Energy, Inc.","NEE","Utilities","2026-03-27","Up","Down",0.640834,"lasso_logistic",0.478261,-0.130435,-0.130435,0.086957,-0.868916,0.298400
"PayPal Holdings, Inc.","PYPL","Financial Services","2026-02-06","Down","Down",0.638771,"random_forest",0.586207,0.149425,0.149425,0.022989,-0.825637,-0.235133
